method,Mean,MAE,MAE*2,MAE/2
FFT,53.08620689655172,17.73336206896551,51.615706896551714,44.08893103448274
ACF,99.5,38.4371724137931,137.43444827586208,36.55520689655173
SuSS,44.172413793103445,32.29443103448274,39.161189655172414,48.648724137931005
MWF,58.55172413793103,15.113862068965513,54.8339827586207,41.35617241379309
Autoperiod,54.689655172413794,17.148431034482744,54.827741379310346,43.28720689655171
RobustPeriod,35.224137931034484,57.38939655172414,60.844913793103416,62.36412068965516
