method,Mean,MAE,MAE*2,MAE/2
FFT,45.47945205479452,18.3938219178082,44.57567123287671,40.984547945205456
ACF,98.84931506849315,44.658150684931506,142.0545753424658,37.19064383561643
SuSS,41.42465753424658,29.49845205479451,36.577191780821934,43.09369863013695
MWF,54.21917808219178,16.518082191780813,52.536397260273986,38.368109589041076
Autoperiod,46.31506849315068,18.367438356164364,47.34680821917808,40.56673972602738
RobustPeriod,42.41095890410959,56.91504109589041,72.07283561643834,56.79221917808217
