Name of Time Series,Segment,Median
SwedishLeaf,4,31.998999999999796
Symbols,1,99.5
Symbols,2,98.99800000000005
Symbols,3,102.00300000000004
Symbols,4,102.00450000000001
ToeSegmentation2,1,33.998999999999995
ToeSegmentation2,2,69.25600000000009
Trace,1,68.00700000000006
Trace,2,69.0
Trace,3,69.0
TwoLeadECG,1,20.999
TwoLeadECG,2,20.50200000000001
UMD,1,149.49200000000002
WordSynonyms,1,33.998999999999995
WordSynonyms,2,33.99700000000007
WordSynonyms,3,37.0
